Participant,experience,evidence_sequence
19.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
19.0,ThirdYear,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
19.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'no']"
19.0,ThirdYear,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
19.0,ThirdYear,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'yes']"
19.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
19.0,ThirdYear,"['yes', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes']"
19.0,ThirdYear,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
19.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes']"
19.0,ThirdYear,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes']"
19.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
19.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
19.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
19.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'no']"
19.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
19.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
19.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
19.0,ThirdYear,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
20.0,FirstYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
20.0,FirstYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
20.0,FirstYear,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no']"
20.0,FirstYear,"['no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
20.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
20.0,FirstYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20.0,FirstYear,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
20.0,FirstYear,"['no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
21.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'yes', 'no', 'yes', 'no', 'yes', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'yes', 'no', 'no']"
21.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no']"
21.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no']"
21.0,ThirdYear,"['no', 'no', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
21.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'no', 'yes', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes']"
21.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['yes', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
21.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
21.0,ThirdYear,"['yes', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
21.0,ThirdYear,"['no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
21.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'yes']"
21.0,ThirdYear,"['no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'yes']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
23.0,FirstYear,"['yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'no']"
23.0,FirstYear,"['no', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
23.0,FirstYear,"['yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'no']"
23.0,FirstYear,"['yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'yes', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
23.0,FirstYear,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
23.0,FirstYear,"['no', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
23.0,FirstYear,"['no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
23.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes']"
23.0,FirstYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
